,Message,Subject,Relation,Object,Label
266,What do you think about Thomas Müller?,Thomas Müller,Player statistics,Germany national football team,1
267,What do you know about  Mesut Özil?,Mesut Özil,Position(s),Midfielder,1
268,"I liked Night at the Museum movie, can you recommend me similar movies?",Night at the Museum,has_genre,Fantasy,1
269,Do you know of any movies directed by Chan-wook Park.,Chan-wook Park,directed_by,Stoker,1
270,Would you recommend the movie Donnie Brasco?,Donnie Brasco,starred_actors,Al Pacino,1
271,I like Message in a Bottle. Are there any stories similar?,Message in a Bottle,Composer,Sting,1
272,I like some of the stuff Robert Downey Jr. does so do you have any recommendations for movies with him?,Robert Downey Jr.,starred_actors,Tropic Thunder,1
273,"The Pick-Up Artist, Tropic Thunder, and Kiss Kiss Bang Bang are all comedies that he starred in.",Tropic Thunder,has_genre,Adventure Film,1
274,Do you know the movie King Kong? I would like to see a movie like this from a different director.,King Kong,starred_actors,Thomas Kretschmann,1
275,Do you know anything about a musician named Anne-Marie?,Anne-Marie,is-a,Singer,1
276,Do you like Prometheus?,Prometheus,release_year,2012,1
277,I do. It's my favorite genre.  The Avengers is my favorite movie of all time. Have you seen it?,The Avengers,starred_actors,Scarlett Johansson,1
278,"I haven't seen it but it must be good with stars like Scarlett Johansson, Lou Ferrigno, and Chris Evans.",Scarlett Johansson,starred_actors,We Bought a Zoo,1
279,Oh god yeah! I'm a big fan of Scarlett Johansson. I love her in We Bought a Zoo. Do you like her?,We Bought a Zoo,has_genre,Family,1
280,I like Kansas City Chiefs. How about you?,Kansas City Chiefs,Team,Warpaint (Mascot),1
281,Do you have any information about BTS?,BTS,Place Musical Career Began,Seoul,1
282,Do you like Shaun White?,Shaun White,starred_actors,Friends with Benefits,1
283,"That sounds like fun! Do you by any chance remember who Mila Kunis is married too, I totally forgot.",Mila Kunis,Spouse (or domestic partner),Ashton Kutcher,1
284,"I like books written by Philip Pullman, what can you recommend?",Philip Pullman,written_by,The Subtle Knife,1
285,I like the move The Bourne Supremacy. Do you have recommendations like this one?,The Bourne Supremacy,has_genre,Thriller,1
286,The Zodiac is a really good Thriller if you haven't seen that one. ,Thriller,has_genre,Zodiac (Crime Fiction Film),1
287,Can you tell me some movies starring Emilia Fox?,Emilia Fox,starred_actors,Shooting the Past,1
288,"Sure. Emilia Fox starred in Shooting the Past, Rebecca, a TV show and also in Helen of Troy.",Shooting the Past,starred_actors,Emilia Fox,1
289,Do you know if Rafael Nadal has won many matches?,Rafael Nadal,Sport played,Tennis,1
290,"I grew up watching Andre Agassi. He's my all-time favorite, but right now I like Roger Federer. he's ranked right behind Nadal, but he's beaten Nadal. ",Roger Federer,Organization founded,Roger Federer Foundation,1
291,I'm assuming he founded the Roger Federer Foundation? What do you know about it?,Roger Federer Foundation,Organization founded,Roger Federer,1
292,Could you recommend any movies similar to the Titanic?,Titanic,written_by,James Cameron,1
293,I like Boston Celtics. Have you seen their game?,Boston Celtics,Team coached,Doc Rivers,1
294,I have seen them play my home team the Milwaukee Bucks.  I believe they are coached by Doc Rivers and Brad Stevens.,Doc Rivers,Team coached,Los Angeles Clippers,1
295,Yeah Doc Rivers used to coach Los Angeles Clippers too. He used to be a point guard. ,Los Angeles Clippers,Home venue for,Staples Center,1
296,Do you know if the home venue for the LA Clippers the Staples Center or the Honda Center?,Staples Center,Arena/Stadium,Los Angeles Clippers,1
297,Can you show me some stuff that Johnny Depp has been in?,Johnny Depp,starred_actors,The Rum Diary,1
298,"Sure, Johnny Depp has starred in The Rum Diary and L.A. Without a Map. ",The Rum Diary,written_by,Hunter S. Thompson,1
299,Isn't the Rum Diary by Hunter S. Thompson?,Hunter S. Thompson,written_by,The Rum Diary,1
300,I like Tom Wilkinson. Do you know of him?,Tom Wilkinson,starred_actors,Batman Begins,1
301,Oh what is the genre of Wyrd Sisters?,Wyrd Sisters,has_genre,Fantasy,1
302,Do you have any good movies by Curtis Hanson?,Curtis Hanson,written_by,Lucky You,1
303,Yes. Curtis Hanson wrote Lucky You.,Lucky You,starred_actors,Robert Downey Jr.,1
304,Do you like Joseph Sikora?,Joseph Sikora,starred_actors,Shutter Island,1
305,Do you like Anthony Daniels?,Anthony Daniels,starred_actors,Star Wars (Science Fiction Film),1
306,I love science fiction.  Harrison Ford was also in it. I love him. Do you?,Harrison Ford,starred_actors,The Fugitive (Crime Fiction Film),1
307,I have seen ever one of the Men In Black Movies. Can you believe Johnny Knoxville was in the second one?,Johnny Knoxville,Program creator,Jackass,1
308,"Yes, I'm a huge fan of MTV. ",MTV,has_genre,Pimp My Ride,1
309,So am I. I love the show Pimp My Ride. Do you?,Pimp My Ride,has_genre,Reality television,1
310,Tell me what you know about Mahendra Singh Dhoni?,Mahendra Singh Dhoni,starred_actors,Hook Ya Crook,1
311,I know she starred in Hook Ya Crook,Hook Ya Crook,starred_actors,Mahendra Singh Dhoni,1
312,She is on the India national cricket team,India national cricket team,Team,Gautam Gambhir,1
313,Sure! Were you looking for other books written by Sarah J. Maas?,Sarah J. Maas,written_by,The Assassin's Blade,1
314,Do you have any books written by Martin Gardner?,Martin Gardner,written_by,Alice's Adventures in Wonderland,1
315,Do you know if Quiet: The Power of Introverts in a World that Can't Stop Talking is any good? I am a serious introvert.,Quiet: The Power of Introverts in a World that Can't Stop Talking,written_by,Susan Cain,1
316,"Yeah, it sounds pretty interesting. Written by Susan Cain, released 2012, and she was doing researches over centuries about extroverts and introverts.",Susan Cain,is-a,Lawyer,1
317,Can you recommend other movies like The Thing?,The Thing,written_by,Eric Heisserer,1
318,Do you like Robert Louis Stevenson? Someone recommended that I read some of his work.,Robert Louis Stevenson,written_by,Treasure Island,1
319,Do you know of any books by Gregory Rabassa?,Gregory Rabassa,written_by,Rayuela,1
320,Do you have any information on A Streetcar Named Desire?,A Streetcar Named Desire,is-a,Play,1
321,"Oh, it is a play as well? Like Romeo and Juliet?",Romeo and Juliet,has_genre,Play,1
322,"The only play I have ever seen is Wicked and I absolutely loved it! Can you give me some more play recommendations, please?",Wicked,written_by,Sara Shepard,1
323,"Sure! If you loved Wicked, you probably also will appreciate Flawless. Sara Shepard wrote both plays.",Sara Shepard,written_by,The Lying Game,1
324,"I have not heard of Flawless. Sara Shephard, she's the one who wrote The Lying Game, right? ",The Lying Game,written_by,Sara Shepard,1
325,"Yes she did, and you might know her from Pretty Little Liars too.",Pretty Little Liars,has_genre,Teen drama,1
326,What can you enlighten me on about Batman Returns?,Batman Returns,written_by,Sam Hamm,1
327,I like Laura Ingalls Wilder. Could you recommend any of her books?,Laura Ingalls Wilder,written_by,The Little House Collection,1
328,Sure! She is a very talented author. Have you read The Little House Collection?,The Little House Collection,written_by,Laura Ingalls Wilder,1
329,Do you have any information on Christina Perri?,Christina Perri,Sibling,Nick Perri,1
330,Christina Perri Sibling Nick Perri,Nick Perri,Sibling,Christina Perri,1
331,Christina Perri Sibling Nick Perri,Christina Perri,Composer,Jar of Hearts,1
332,Lovestrong song was written By her,Lovestrong,Artist,Christina Perri,1
333,I like the actor Marcella Lentz-Pope. Can you recommend any work that he has done?,Marcella Lentz-Pope,starred_actors,The Social Network,1
334,I do love dramas! I also love Aaron Sorkin's work.,Aaron Sorkin,written_by,A Few Good Men,1
335,I enjoyed Prometheus. What other films can you recommend in that genre?,Prometheus,has_genre,Sci-Fi,1
336,Who's in Wing Commander? I will check it out once I know the cast.,Wing Commander,starred_actors,Saffron Burrows,1
337,Could you recommend work by Sylvia Day?,Sylvia Day,written_by,Reflected in You,1
338,Reflected in You is a Global catastrophic risk released in 2012,Reflected in You,release_year,2012,1
339,Reflected in You is a Global catastrophic risk released in 2012,2012,Subject,Global catastrophic risk,1
340,The Lego Movie is hilarious! Any movies similar to it?,The Lego Movie,has_genre,Fantasy,1
341,I like The Hobbit: The Battle of the Five Armies. Do you have any recommendations similar to this movie?,The Hobbit: The Battle of the Five Armies,has_genre,Adventure,1
342,What do you think about Toni Kroos?,Toni Kroos,Player statistics,FC Bayern Munich II,1
343,I think Christina Perri music is one of the best in the pop genre. What do you think?,Christina Perri,Composer,A Thousand Years,1
344,"Yeah, she is pretty good as I think she wrote Jar of Hearts and A Thousand Years.",A Thousand Years,Composer,Christina Perri,1
345,"You know, when I think of Soul music, I like Roberta Flack the most, how about you?",Roberta Flack,Instrument Played,Piano,1
346,Could you recommend any books written by Tahereh Mafi?,Tahereh Mafi,written_by,"Ignite Me (Shatter Me, #3)",1
347,Thank you was Ignite Me released in 2014?,2014,release_year,You,1
348,Venus Williams is probably one of the most well-known tennis players of our time. ,Venus Williams,Sibling,Serena Williams,1
349,Do you know any books by Wally Lamb?,Wally Lamb,written_by,We Are Water,1
350,Do you know about the movie Les Misérables?,Les Misérables,written_by,Claude-Michel Schönberg,1
351,"Yes, I can help with that and it is written by Claude-Michel Schönberg and Alain Boublil. The movie stars are  Hugh Jackman, Eddie Redmayne and  Anne Hathaway.",Claude-Michel Schönberg,written_by,Les Misérables,1
352,Who starred in Divergent?,Divergent,starred_actors,Theo James,1
353,Do you have a movie called The Fifth Element?,The Fifth Element,starred_actors,Tricky,1
354,"Yes.  It stars Tricky, Milla Jovovich, Mathieu Kassovitz, and Luke Perry.  Would you like to know anything more about the movie or one of the actors?",Tricky,starred_actors,The Fifth Element,1
355,who wrote The Fifth Element?,The Fifth Element,written_by,Robert Mark Kamen,1
356,It was written by Robert Mark Kamen and Luc Besson.  ,Robert Mark Kamen,written_by,Transporter 2,1
357,did Robert Mark Kamen also write Transporter 2?,Transporter 2,written_by,Robert Mark Kamen,1
358,"The Transporter is a crime thriller, while The Fifth Element is an action film.  Which would you prefer?",The Transporter,has_genre,Crime,1
359,Could you recommend a book by Gregory Maguire?,Gregory Maguire,written_by,Wicked: The Life and Times of the Wicked Witch of the West,1
360,Do you know anything about Marcelo Vieira?,Marcelo Vieira,Player statistics,Real Madrid C.F.,1
361,Do you know Rian Johnson?,Rian Johnson,written_by,The Brothers Bloom,1
362,What genre is A Separate Peace? I have never heard of it. ,A Separate Peace,has_genre,Naturalism (Literary School Or Movement),1
363,"Harry Potter and the Prisoner of Azkaban, which movie is this in the line of the films ? (ex: 1,2,3. etc)",Harry Potter and the Prisoner of Azkaban,Next in series,Harry Potter and the Chamber of Secrets,1
364,Good question.  The next in line is Harry Potter and the Chamber of Secrets.  Have you seen that movie yet?,Harry Potter and the Chamber of Secrets,starred_actors,Emma Watson,1
365,"I have seen most of those, I do love Emma Watson in the movies. Do you know of any others she starred in ?",Emma Watson,starred_actors,Harry Potter and the Order of the Phoenix (Fantasy Adventure Film),1
366,Do you know who Jordan Spieth is? I've never heard of him.,Jordan Spieth,is-a,Athlete,1
367, Could you recommend books similar to Emma?,Emma,written_by,Jane Austen,1
368,Do you know much about Venus Williams' tennis life?,Venus Williams,has_person,Compton,1
369,"Sure. She is most famous for being raised in Compton, and that Serena Williams is her sister.",Compton,Place Musical Career Began,Coolio,1
370,"I think that guy Coolio that starred in Batman & Robin came from Compton, too?",Coolio,Place of birth,Compton,1
371,"And, speaking of Compton, I remember Dr. Dre playing there in his early career, do you?",Dr. Dre,Place Musical Career Began,Compton,1
372,"Do you know anything about the actor, Albert Brooks?",Albert Brooks,written_by,The Muse,1
373,Wasn't that lady from The Nanny in that? I think her name is Fran something?,The Nanny,has_genre,Sitcom,1
374,Can you recommend books similar to The Giver?,The Giver,has_genre,Young-adult fiction,1
375,"I like John Kennedy Toole, do you recommend other book written by him?",John Kennedy Toole,written_by,A Confederacy of Dunces,1
376,Could you recommend something like The Incredibles?,The Incredibles,has_genre,Superhero movie,1
377,Yes they are a creat team coached by Mike Tomlin,Mike Tomlin,Place of birth,Hampton,1
378,I like Mike Tomin. Do you? He's from Hampton,Hampton,Place of birth,Tyrod Taylor,1
379,Wasn't Don Cheadle and Joaquin Phoenix in it too?,Joaquin Phoenix,starred_actors,Hotel Rwanda,1
380,James and the Giant Peach was a great book. Do you know if there is a movie to it?,James and the Giant Peach,starred_actors,Susan Sarandon,1
381,"Yes, there was a stop motion version starring Susan Sarandon released in the last few years. Are you a fan of fantasies like that one?",Susan Sarandon,starred_actors,White Palace,1
382,Yes I do. didn't Susan Sarandon starred in White Palace? can you tell me more about that?,White Palace,starred_actors,Susan Sarandon,1
